,Name,Position,Team,Salary,Year
3941,D.J. White, PF,Charlotte Bobcats,"$1,108,680",2011
3942,Kyrylo Fesenko, C,Utah Jazz,"$1,087,500",2011
3943,DeMarre Carroll, SF,Memphis Grizzlies,"$1,085,400",2011
3944,Wayne Ellington, SG,Minnesota Timberwolves,"$1,078,800",2011
3945,Quincy Pondexter, SF,New Orleans Hornets,"$1,073,280",2011
3946,Alando Tucker, SF,Minnesota Timberwolves,"$1,071,720",2011
3947,Toney Douglas, PG,New York Knicks,"$1,071,000",2011
3948,Jordan Crawford, G,Washington Wizards,"$1,042,320",2011
3949,Greivis Vasquez, PG,Memphis Grizzlies,"$1,035,960",2011
3950,Quinton Ross, SF,New Jersey Nets,"$1,033,342",2011
3951,James Singleton, F,Washington Wizards,"$1,030,189",2011
3952,Jawad Williams, SF,Cleveland Cavaliers,"$1,029,389",2011
3953,Aaron Gray, C,New Orleans Hornets,"$1,028,840",2011
3954,Daniel Orton, C,Washington Wizards,"$1,028,400",2011
3955,Christian Eyenga, SF,Cleveland Cavaliers,"$1,020,960",2011
3956,Lazar Hayward, SF,Minnesota Timberwolves,"$1,020,960",2011
3957,Jon Brockman, PF,Milwaukee Bucks,"$1,000,000",2011
3958,Stephen Graham, SF,New Jersey Nets,"$992,680",2011
3959,Shavlik Randolph, PF,Denver Nuggets,"$992,680",2011
3960,Joey Graham, SF,Cleveland Cavaliers,"$992,680",2011
3961,Patty Mills, PG,Portland Trail Blazers,"$937,195",2011
3962,Donte Greene, SF,Sacramento Kings,"$930,700",2011
3963,DeJuan Blair, C,San Antonio Spurs,"$918,000",2011
3964,Sam Young, SF,Memphis Grizzlies,"$886,000",2011
3965,Ian Mahinmi, C,Dallas Mavericks,"$885,120",2011
3966,Alexander Johnson, SF,Miami Heat,"$885,120",2011
3967,Josh McRoberts, PF,Indiana Pacers,"$885,120",2011
3968,Salim Stoudamire, SG,Atlanta Hawks,"$884,881",2011
3969,Marcus Haislip, F,San Antonio Spurs,"$855,189",2011
3970,Anthony Roberson, SG,Chicago Bulls,"$855,189",2011
3971,Quincy Douby, SG,Sacramento Kings,"$855,189",2011
3972,Mouhamed Sene, C,New York Knicks,"$855,189",2011
3973,Tarence Kinsey, SG,Golden State Warriors,"$855,189",2011
3974,Dwayne Jones II, PF,Utah Jazz,"$854,389",2011
3975,Kenny Thomas, PF,Sacramento Kings,"$854,389",2011
3976,Darius Miles, SF,Memphis Grizzlies,"$854,389",2011
3977,Javaris Crittenton, PG,Washington Wizards,"$854,389",2011
3978,Kyle Weaver, SG,Utah Jazz,"$854,389",2011
3979,Sean May, C,Sacramento Kings,"$854,389",2011
3980,Luther Head, PG,Sacramento Kings,"$854,389",2011
3981,Etan Thomas, C,Atlanta Hawks,"$854,389",2011
3982,Mikki Moore, C,Golden State Warriors,"$825,497",2011
3983,Paul Davis, C,Washington Wizards,"$825,497",2011
3984,Linton Johnson, PF,Chicago Bulls,"$825,497",2011
3985,Kevin Ollie, PG,Oklahoma City Thunder,"$825,497",2011
3986,Ryan Bowen, SF,Oklahoma City Thunder,"$825,497",2011
3987,Jermareo Davidson, PF,Golden State Warriors,"$825,497",2011
3988,Gabe Pruitt, PG,Boston Celtics,"$825,497",2011
3989,Chris Quinn, PG,San Antonio Spurs,"$804,131",2011
3990,Sean Marks, PF,Portland Trail Blazers,"$799,105",2011
3991,Chase Budinger, SF,Houston Rockets,"$780,871",2011
3992,Jermaine Taylor, SG,Sacramento Kings,"$780,871",2011
3993,Derrick Brown, SF,Charlotte Bobcats,"$762,195",2011
3994,Dante Cunningham, SF,Charlotte Bobcats,"$762,195",2011
3995,Brian Butch, C,Utah Jazz,"$762,195",2011
3996,Tony Gaffney, SF,Memphis Grizzlies,"$762,195",2011
3997,DaJuan Summers, SF,Detroit Pistons,"$762,195",2011
3998,Jodie Meeks, SG,Philadelphia 76ers,"$762,195",2011
3999,Taylor Griffin, PF,Phoenix Suns,"$762,195",2011
4000,Curtis Jerrells, NA,null Unknown,"$762,195",2011
4001,Oliver Lafayette, G,Milan Olimpia,"$762,195",2011
4002,Lance Stephenson, SG,Indiana Pacers,"$750,000",2011
4003,Mike Taylor, PG,LA Clippers,"$736,420",2011
4004,Sun Yue, SG,Los Angeles Lakers,"$736,420",2011
4005,Dontell Jefferson, SG,Charlotte Hornets,"$736,420",2011
4006,Joe Crawford, SG,New York Knicks,"$736,420",2011
4007,Othello Hunter, SF,Madrid Real Madrid,"$736,420",2011
4008,Hassan Whiteside, C,Sacramento Kings,"$730,437",2011
4009,Erick Dampier, C,Miami Heat,"$713,666",2011
4010,Ime Udoka, SG,San Antonio Spurs,"$708,640",2011
4011,Mike Wilks, PG,Oklahoma City Thunder,"$679,821",2011
4012,Solomon Alabi, C,Toronto Raptors,"$670,000",2011
4013,Brian Skinner, PF,Milwaukee Bucks,"$668,434",2011
4014,Allen Iverson, SG,Philadelphia 76ers,"$650,686",2011
4015,Alonzo Gee, SF,Washington Wizards,"$641,141",2011
4016,Acie Law, PG,Memphis Grizzlies,"$633,253",2011
4017,Andy Rautins, SG,New York Knicks,"$600,000",2011
4018,Ike Diogu, PF,LA Clippers,"$567,917",2011
4019,Gary Neal, PG,San Antonio Spurs,"$525,000",2011
4020,Jason Williams, PG,Memphis Grizzlies,"$524,964",2011
4021,Lester Hudson, SG,Washington Wizards,"$515,603",2011
4022,Willie Warren, SG,LA Clippers,"$500,000",2011
4023,Samardo Samuels, PF,Cleveland Cavaliers,"$500,000",2011
4024,Damien Wilkins, SG,Atlanta Hawks,"$482,478",2011
4025,Sherron Collins, PG,Charlotte Bobcats,"$473,604",2011
4026,Patrick Beverley, PG,LA Clippers,"$473,604",2011
4027,Gani Lawal, PF,Phoenix Suns,"$473,604",2011
4028,Armon Johnson, PG,Portland Trail Blazers,"$473,604",2011
4029,Jeremy Lin, PG,Golden State Warriors,"$473,604",2011
4030,Landry Fields, SG,New York Knicks,"$473,604",2011
4031,Ish Smith, PG,Memphis Grizzlies,"$473,604",2011
4032,Gary Forbes, F,Denver Nuggets,"$473,604",2011
4033,Luke Harangody, PF,Cleveland Cavaliers,"$473,604",2011
4034,Semih Erden, C,Cleveland Cavaliers,"$473,604",2011
4035,Dexter Pittman, C,Miami Heat,"$473,604",2011
4036,Derrick Byars, SF,Memphis Grizzlies,"$457,588",2011
4037,Marcus Landry, SF,Milwaukee Bucks,"$457,588",2011
4038,Deron Washington, NA,null Unknown,"$457,588",2011
4039,Peja Stojakovic, SF,Toronto Raptors,"$402,065",2011
4040,Steve Novak, SF,San Antonio Spurs,"$306,575",2011
4041,Mustafa Shakur, PG,Washington Wizards,"$226,162",2011
4042,Jared Jeffries, PF,New York Knicks,"$221,136",2011
4043,Mike Bibby, PG,Washington Wizards,"$216,110",2011
4044,Troy Murphy, PF,New Jersey Nets,"$216,110",2011
4045,Dominic McGuire, PF,Charlotte Bobcats,"$211,084",2011
4046,Sasha Pavlovic, SG,Dallas Mavericks,"$211,084",2011
4047,Rasual Butler, SF,LA Clippers,"$211,084",2011
4048,Al Thornton, SF,Washington Wizards,"$211,084",2011
4049,Travis Diener, PG,Portland Trail Blazers,"$208,802",2011
4050,Leon Powe, PF,Memphis Grizzlies,"$201,033",2011
4051,Carlos Arroyo, PG,Miami Heat,"$196,007",2011
4052,Zabian Dowdell, PG,Phoenix Suns,"$186,656",2011
4053,Jannero Pargo, PG,Charlotte Hornets,"$168,579",2011
4054,Jeff Adrien, SF,Golden State Warriors,"$133,723",2011
4055,John Lucas III, PG,Chicago Bulls,"$130,165",2011
4056,Danny Green, SG,San Antonio Spurs,"$130,022",2011
4057,Da'Sean Butler, NA,null Unknown,"$125,000",2011
4058,Sundiata Gaines, PG,Toronto Raptors,"$112,088",2011
4059,Chris Johnson, C,Portland Trail Blazers,"$88,363",2011
4060,Garrett Temple, SG,Charlotte Bobcats,"$80,703",2011
4061,Cedric Jackson, G,Cleveland Cavaliers,"$40,375",2011
4062,Othyus Jeffers, SG,Washington Wizards,"$35,868",2011
4063,Patrick Ewing Jr., SF,New Orleans Hornets,"$25,073",2011
4064,Marcus Cousin, C,Utah Jazz,"$25,000",2011
4065,Larry Owens, SF,Washington Wizards,"$22,287",2011
4066,Mario West, SG,New Jersey Nets,"$20,103",2011
4067,Marqus Blakely, SF,Houston Rockets,"$15,000",2011
4068,Robert Vaden, SG,San Antonio Spurs,"$13,930",2011
4069,Earl Barron, C,Portland Trail Blazers,"$11,679",2011
4070,Trey Johnson, SG,Toronto Raptors,"$8,967",2011
4071,Magnum Rolle, NA,null Unknown,"$8,358",2011
4072,Kobe Bryant, SF,Los Angeles Lakers,"$23,034,375",2010
4073,Jermaine O'Neal, C,Miami Heat,"$23,016,000",2010
4074,Tracy McGrady, SG,New York Knicks,"$22,843,124",2010
4075,Tim Duncan, C,San Antonio Spurs,"$22,183,220",2010
4076,Shaquille O'Neal, C,Cleveland Cavaliers,"$21,000,000",2010
4077,Dirk Nowitzki, PF,Dallas Mavericks,"$19,795,714",2010
4078,Paul Pierce, SF,Boston Celtics,"$19,795,712",2010
4079,Ray Allen, SG,Boston Celtics,"$18,776,860",2010
4080,Rashard Lewis, PF,Orlando Magic,"$18,010,791",2010
4081,Michael Redd, SG,Milwaukee Bucks,"$17,040,000",2010
4082,Pau Gasol, C,Los Angeles Lakers,"$16,452,000",2010
4083,Andrei Kirilenko, SF,Utah Jazz,"$16,452,000",2010
4084,Kevin Garnett, PF,Boston Celtics,"$16,417,044",2010
4085,Amar'e Stoudemire, C,Phoenix Suns,"$16,378,325",2010
4086,Yao Ming, C,Houston Rockets,"$16,378,325",2010
4087,Gilbert Arenas, PG,Washington Wizards,"$16,192,080",2010
4088,Vince Carter, SF,Orlando Magic,"$16,123,250",2010
4089,Zach Randolph, F,Memphis Grizzlies,"$16,000,000",2010
4090,Kenyon Martin, PF,Denver Nuggets,"$15,852,511",2010
4091,Dwyane Wade, SG,Miami Heat,"$15,779,912",2010
4092,Chris Bosh, PF,Toronto Raptors,"$15,779,912",2010
4093,LeBron James, SF,Cleveland Cavaliers,"$15,779,912",2010
4094,Carmelo Anthony, F,Denver Nuggets,"$15,779,912",2010
4095,Dwight Howard, C,Orlando Magic,"$15,202,590",2010
4096,Joe Johnson, G,Atlanta Hawks,"$14,976,754",2010
4097,Elton Brand, PF,Philadelphia 76ers,"$14,858,472",2010
4098,Richard Jefferson, F,San Antonio Spurs,"$14,200,000",2010
4099,Chris Paul, PG,New Orleans Hornets,"$13,520,500",2010
4100,Deron Williams, PG,Utah Jazz,"$13,520,500",2010
4101,Peja Stojakovic, SF,New Orleans Hornets,"$13,392,000",2010
4102,Jason Richardson, SG,Phoenix Suns,"$13,333,332",2010
4103,Steve Nash, PG,Phoenix Suns,"$13,125,000",2010
4104,Tony Parker, PG,San Antonio Spurs,"$12,600,000",2010
4105,Andrew Bynum, C,Los Angeles Lakers,"$12,500,000",2010
4106,Carlos Boozer, PF,Utah Jazz,"$12,323,900",2010
4107,Brad Miller, C,Chicago Bulls,"$12,250,000",2010
4108,Andre Iguodala, SG,Philadelphia 76ers,"$12,200,000",2010
4109,Erick Dampier, C,Dallas Mavericks,"$12,115,500",2010
4110,Baron Davis, PG,LA Clippers,"$12,100,000",2010
4111,Chauncey Billups, PG,Denver Nuggets,"$12,100,000",2010
4112,Samuel Dalembert, C,Philadelphia 76ers,"$12,025,694",2010
4113,Al Jefferson, C,Minnesota Timberwolves,"$12,000,000",2010
4114,Tyson Chandler, C,Charlotte Bobcats,"$11,700,000",2010
4115,Antawn Jamison, PF,Washington Wizards,"$11,641,095",2010
4116,Richard Hamilton, SG,Detroit Pistons,"$11,375,000",2010
4117,Bobby Simmons, SF,New Jersey Nets,"$11,242,666",2010
4118,Troy Murphy, PF,Indiana Pacers,"$11,047,619",2010
4119,Monta Ellis, SG,Golden State Warriors,"$11,000,000",2010
4120,Josh Howard, SF,Washington Wizards,"$10,890,000",2010
4121,Josh Smith, PF,Atlanta Hawks,"$10,800,000",2010
4122,Emeka Okafor, C,New Orleans Hornets,"$10,797,500",2010
4123,Manu Ginobili, G,San Antonio Spurs,"$10,728,130",2010
4124,Nene Hilario, C,Denver Nuggets,"$10,520,000",2010
4125,Eddy Curry, C,New York Knicks,"$10,500,423",2010
4126,Chris Kaman, C,LA Clippers,"$10,400,000",2010
4127,Luol Deng, SF,Chicago Bulls,"$10,365,000",2010
4128,Tayshaun Prince, SF,Detroit Pistons,"$10,324,380",2010
4129,Danny Granger, SF,Indiana Pacers,"$10,130,500",2010
4130,Al Harrington, PF,New York Knicks,"$10,026,875",2010
4131,Andrew Bogut, C,Milwaukee Bucks,"$10,000,000",2010
4132,Ben Gordon, SG,Detroit Pistons,"$10,000,000",2010
4133,Mike Dunleavy, SG,Indiana Pacers,"$9,780,992",2010
4134,Caron Butler, SF,Washington Wizards,"$9,780,970",2010
4135,Mike Miller, SG,Washington Wizards,"$9,780,937",2010
4136,Kevin Martin, SG,Sacramento Kings,"$9,680,170",2010
4137,Cuttino Mobley, SG,LA Clippers,"$9,500,000",2010
4138,Gerald Wallace, SF,Charlotte Bobcats,"$9,500,000",2010
4139,Kirk Hinrich, SG,Chicago Bulls,"$9,500,000",2010
4140,Jamal Crawford, SG,Atlanta Hawks,"$9,360,000",2010
4141,Marcus Camby, C,Portland Trail Blazers,"$9,150,000",2010
4142,Jason Terry, G,Dallas Mavericks,"$9,075,000",2010
4143,David West, F,New Orleans Hornets,"$9,075,000",2010
4144,Andris Biedrins, C,Golden State Warriors,"$9,000,000",2010
4145,Boris Diaw, C,Charlotte Bobcats,"$9,000,000",2010
4146,Hedo Turkoglu, SF,Toronto Raptors,"$9,000,000",2010
4147,Corey Maggette, SF,Golden State Warriors,"$8,937,931",2010
4148,Mo Williams, PG,Cleveland Cavaliers,"$8,860,000",2010
4149,Kenny Thomas, PF,Sacramento Kings,"$8,775,000",2010
4150,Quentin Richardson, SF,Miami Heat,"$8,700,000",2010
4151,T.J. Ford, PG,Indiana Pacers,"$8,500,000",2010
4152,Devin Harris, PG,New Jersey Nets,"$8,400,000",2010
4153,Jose Calderon, PG,Toronto Raptors,"$8,219,009",2010
4154,Jason Kidd, PG,Dallas Mavericks,"$8,100,000",2010
4155,Jameer Nelson, G,Orlando Magic,"$8,100,000",2010
4156,Mark Blount, C,Miami Heat,"$7,967,375",2010
4157,Etan Thomas, C,Oklahoma City Thunder,"$7,906,088",2010
4158,Paul Millsap, PF,Utah Jazz,"$7,692,932",2010
4159,Stephen Jackson, SF,Charlotte Bobcats,"$7,650,000",2010
4160,Darko Milicic, C,New York Knicks,"$7,540,000",2010
4161,Andres Nocioni, SF,Sacramento Kings,"$7,500,000",2010
4162,Marvin Williams, PF,Atlanta Hawks,"$7,500,000",2010
4163,Lamar Odom, PF,Los Angeles Lakers,"$7,500,000",2010
4164,Marko Jaric, PG,Brooklyn Nets,"$7,100,000",2010
4165,Udonis Haslem, PF,Miami Heat,"$7,100,000",2010
4166,David Lee, PF,New York Knicks,"$7,000,000",2010
4167,Shane Battier, SF,Houston Rockets,"$6,939,200",2010
4168,Joel Przybilla, C,Portland Trail Blazers,"$6,857,725",2010
4169,Dan Gadzuric, C,Milwaukee Bucks,"$6,749,260",2010
4170,Andre Miller, PG,Portland Trail Blazers,"$6,730,800",2010
4171,Shawn Marion, SG,Dallas Mavericks,"$6,635,068",2010
4172,Tony Battie, C,New Jersey Nets,"$6,606,600",2010
4173,Antonio Daniels, PG,Philadelphia 76ers,"$6,600,000",2010
4174,Leandro Barbosa, G,Phoenix Suns,"$6,600,000",2010
4175,Jerome James, C,Chicago Bulls,"$6,600,000",2010
4176,Andrea Bargnani, C,Toronto Raptors,"$6,527,491",2010
4177,Luke Ridnour, PG,Milwaukee Bucks,"$6,500,000",2010
4178,Charlie Villanueva, PF,Detroit Pistons,"$6,500,000",2010
4179,Jared Jeffries, PF,New York Knicks,"$6,466,600",2010
4180,Nazr Mohammed, C,Charlotte Bobcats,"$6,466,600",2010
4181,Vladimir Radmanovic, SF,Charlotte Bobcats,"$6,466,600",2010
4182,John Salmons, SF,Milwaukee Bucks,"$6,429,151",2010
4183,Anderson Varejao, C,Cleveland Cavaliers,"$6,363,636",2010
4184,Nick Collison, F,Oklahoma City Thunder,"$6,250,000",2010
4185,Mike Bibby, PG,Atlanta Hawks,"$6,217,617",2010
4186,Jason Kapono, SG,Philadelphia 76ers,"$6,212,960",2010
4187,JR Smith, SG,Denver Nuggets,"$6,171,426",2010
4188,Jeff Foster, PF,Indiana Pacers,"$6,077,500",2010
4189,Chris Duhon, PG,New York Knicks,"$6,031,800",2010
4190,James Posey, SF,New Orleans Hornets,"$6,031,800",2010
4191,DeSagana Diop, C,Charlotte Bobcats,"$6,031,800",2010
4192,Brendan Haywood, C,Washington Wizards,"$6,000,000",2010
4193,Rasheed Wallace, PF,Boston Celtics,"$5,854,000",2010
4194,Trevor Ariza, SF,Houston Rockets,"$5,854,000",2010
4195,Marcin Gortat, C,Orlando Magic,"$5,854,000",2010
4196,LaMarcus Aldridge, C,Portland Trail Blazers,"$5,844,827",2010
4197,Morris Peterson, SG,New Orleans Hornets,"$5,800,000",2010
4198,Francisco Garcia, SG,Sacramento Kings,"$5,800,000",2010
4199,Raymond Felton, PG,Charlotte Bobcats,"$5,501,196",2010
4200,Greg Oden, C,Portland Trail Blazers,"$5,361,240",2010
4201,Mickael Pietrus, SF,Orlando Magic,"$5,300,000",2010
4202,Adam Morrison, SF,Los Angeles Lakers,"$5,257,229",2010
4203,Raja Bell, SG,Charlotte Bobcats,"$5,250,000",2010
4204,Speedy Claxton, PG,Atlanta Hawks,"$5,209,454",2010
4205,Derrick Rose, PG,Chicago Bulls,"$5,184,480",2010
4206,Kyle Korver, SG,Utah Jazz,"$5,163,636",2010
4207,Nenad Krstic, C,Oklahoma City Thunder,"$5,160,832",2010
4208,Derek Fisher, PG,Los Angeles Lakers,"$5,048,000",2010
4209,Sasha Vujacic, SG,Los Angeles Lakers,"$5,000,000",2010
4210,Jason Maxiell, PF,Detroit Pistons,"$5,000,000",2010
4211,Nate Robinson, PG,New York Knicks,"$5,000,000",2010
4212,Jarrett Jack, G,Toronto Raptors,"$5,000,000",2010
4213,Blake Griffin, PF,Detroit Pistons,"$4,983,480",2010
4214,Lou Williams, SG,Philadelphia 76ers,"$4,972,500",2010
4215,Reggie Evans, C,Toronto Raptors,"$4,960,000",2010
4216,Luke Walton, SF,Los Angeles Lakers,"$4,840,000",2010
4217,Kevin Durant, SF,Oklahoma City Thunder,"$4,796,880",2010
4218,Zaza Pachulia, C,Atlanta Hawks,"$4,750,000",2010
4219,Tyrus Thomas, PF,Charlotte Bobcats,"$4,743,598",2010
4220,Matt Carroll, SG,Dallas Mavericks,"$4,700,000",2010
4221,Michael Beasley, F,Miami Heat,"$4,638,600",2010
4222,Drew Gooden, PF,LA Clippers,"$4,580,735",2010
4223,Marcus Banks, PG,Toronto Raptors,"$4,553,793",2010
4224,Darius Songaila, PF,New Orleans Hornets,"$4,526,000",2010
4225,Antonio McDyess, PF,San Antonio Spurs,"$4,500,000",2010
4226,Kendrick Perkins, C,Boston Celtics,"$4,500,000",2010
4227,Hasheem Thabeet, C,Memphis Grizzlies,"$4,458,840",2010
4228,Trenton Hassell, SF,New Jersey Nets,"$4,350,000",2010
4229,Martell Webster, SF,Portland Trail Blazers,"$4,344,000",2010
4230,James Jones, SG,Miami Heat,"$4,330,000",2010
4231,Al Horford, C,Atlanta Hawks,"$4,307,640",2010
4232,Delonte West, SG,Cleveland Cavaliers,"$4,254,250",2010
4233,O.J. Mayo, SG,Memphis Grizzlies,"$4,165,560",2010
4234,Ronny Turiaf, C,Golden State Warriors,"$4,140,000",2010
4235,Bruce Bowen, SF,San Antonio Spurs,"$4,100,000",2010
4236,Daniel Gibson, SG,Cleveland Cavaliers,"$4,088,500",2010
4237,Greg Buckner, SG,Memphis Grizzlies,"$4,080,915",2010
4238,James Harden, PG,Oklahoma City Thunder,"$4,004,160",2010
4239,Kwame Brown, C,Detroit Pistons,"$4,000,000",2010
4240,Brandon Bass, PF,Orlando Magic,"$4,000,000",2010
4241,Steve Blake, PG,Portland Trail Blazers,"$4,000,000",2010
4242,Rasual Butler, SF,LA Clippers,"$3,945,000",2010
4243,Amir Johnson, C,Toronto Raptors,"$3,941,667",2010
4244,Brandon Roy, SG,Portland Trail Blazers,"$3,910,816",2010
4245,Ryan Gomes, SF,Minnesota Timberwolves,"$3,892,500",2010
4246,DeShawn Stevenson, SG,Washington Wizards,"$3,883,929",2010
4247,Mike Conley, PG,Memphis Grizzlies,"$3,883,800",2010
4248,Kurt Thomas, PF,Milwaukee Bucks,"$3,800,000",2010
4249,Roger Mason Jr., SG,San Antonio Spurs,"$3,780,000",2010
4250,Russell Westbrook, PG,Oklahoma City Thunder,"$3,755,640",2010
4251,CJ Miles, SF,Utah Jazz,"$3,700,000",2010
4252,Steven Hunter, C,Memphis Grizzlies,"$3,696,000",2010
4253,Willie Green, SG,Philadelphia 76ers,"$3,682,000",2010
4254,Ramon Sessions, G,Minnesota Timberwolves,"$3,670,667",2010
4255,Chris Andersen, PF,Denver Nuggets,"$3,650,000",2010
4256,Damien Wilkins, SG,Minnesota Timberwolves,"$3,630,000",2010
4257,Tyreke Evans, SG,Sacramento Kings,"$3,610,080",2010
4258,Charlie Bell, SG,Milwaukee Bucks,"$3,602,960",2010
4259,Travis Outlaw, SF,Portland Trail Blazers,"$3,600,000",2010
4260,Randy Foye, SG,Washington Wizards,"$3,575,761",2010
4261,Keyon Dooling, PG,New Jersey Nets,"$3,564,000",2010
4262,Jeff Green, SF,Oklahoma City Thunder,"$3,516,960",2010
4263,Carlos Delfino, SG,Milwaukee Bucks,"$3,500,000",2010
4264,Brian Cook, PF,Houston Rockets,"$3,500,000",2010
4265,Brian Scalabrine, PF,Boston Celtics,"$3,413,793",2010
4266,Kevin Love, PF,Minnesota Timberwolves,"$3,401,040",2010
4267,Marc Gasol, C,Memphis Grizzlies,"$3,333,333",2010
4268,Luis Scola, F,Houston Rockets,"$3,284,667",2010
4269,Rudy Gay, SF,Memphis Grizzlies,"$3,280,997",2010
4270,Matt Bonner, C,San Antonio Spurs,"$3,256,500",2010
4271,Yi Jianlian, SF,New Jersey Nets,"$3,194,400",2010
4272,Kelenna Azubuike, SF,Golden State Warriors,"$3,100,000",2010
4273,Danilo Gallinari, SF,New York Knicks,"$3,089,040",2010
4274,Glen Davis, PF,Boston Celtics,"$3,000,004",2010
4275,Jamario Moon, SF,Cleveland Cavaliers,"$3,000,000",2010
4276,Eduardo Najera, PF,New Jersey Nets,"$3,000,000",2010
4277,Grant Hill, SF,Phoenix Suns,"$3,000,000",2010
4278,Andray Blatche, C,Washington Wizards,"$3,000,000",2010
4279,Hakim Warrick, PF,Milwaukee Bucks,"$3,000,000",2010
4280,Chris Wilcox, PF,Detroit Pistons,"$3,000,000",2010
4281,Jonny Flynn, PG,Minnesota Timberwolves,"$2,969,280",2010
4282,Corey Brewer, SG,Minnesota Timberwolves,"$2,916,120",2010
4283,Kris Humphries, PF,New Jersey Nets,"$2,900,000",2010
4284,Dorell Wright, SF,Miami Heat,"$2,887,165",2010
4285,Eddie House, SG,New York Knicks,"$2,862,000",2010
4286,Mark Madsen, PF,Minnesota Timberwolves,"$2,840,000",2010
4287,JJ Redick, SG,Orlando Magic,"$2,839,408",2010
4288,Eric Gordon, SG,LA Clippers,"$2,819,880",2010
4289,Hilton Armstrong, PF,Sacramento Kings,"$2,801,198",2010
4290,Earl Watson, PG,Indiana Pacers,"$2,800,000",2010
4291,Thabo Sefolosha, SF,Oklahoma City Thunder,"$2,759,628",2010
4292,Ronnie Brewer, SF,Memphis Grizzlies,"$2,717,161",2010
4293,Stephen Curry, PG,Golden State Warriors,"$2,710,560",2010
4294,Brandan Wright, F,Houston Rockets,"$2,671,440",2010
4295,Anthony Parker, SG,Cleveland Cavaliers,"$2,644,231",2010
4296,Joe Alexander, SF,Chicago Bulls,"$2,583,360",2010
4297,Maurice Evans, SG,Atlanta Hawks,"$2,500,000",2010
4298,Dahntay Jones, SG,Indiana Pacers,"$2,500,000",2010
4299,Michael Finley, SG,San Antonio Spurs,"$2,500,000",2010
4300,Jordan Hill, C,New York Knicks,"$2,483,280",2010
4301,Joakim Noah, C,Chicago Bulls,"$2,455,680",2010
4302,Shawne Williams, SF,Minnesota Timberwolves,"$2,416,067",2010
4303,Ricky Davis, SG,LA Clippers,"$2,400,000",2010
4304,D.J. Augustin, PG,Charlotte Bobcats,"$2,374,680",2010
4305,Spencer Hawes, PF,Sacramento Kings,"$2,332,800",2010
4306,David Andersen, C,Houston Rockets,"$2,314,815",2010
4307,Craig Smith, PF,LA Clippers,"$2,300,000",2010
4308,DeMar DeRozan, SG,Toronto Raptors,"$2,282,640",2010
4309,Brook Lopez, C,New Jersey Nets,"$2,255,880",2010
4310,Acie Law, PG,Charlotte Bobcats,"$2,216,160",2010
4311,Ryan Hollins, C,Minnesota Timberwolves,"$2,183,333",2010
4312,Brandon Jennings, G,Milwaukee Bucks,"$2,168,520",2010
4313,Chuck Hayes, PF,Houston Rockets,"$2,147,750",2010
4314,Jerryd Bayless, PG,Portland Trail Blazers,"$2,143,080",2010
4315,Renaldo Balkman, SF,Denver Nuggets,"$2,112,417",2010
4316,Thaddeus Young, PF,Philadelphia 76ers,"$2,105,400",2010
4317,Ersan Ilyasova, PF,Milwaukee Bucks,"$2,100,000",2010
4318,Rajon Rondo, PG,Boston Celtics,"$2,094,923",2010
4319,Jarvis Hayes, SF,New Jersey Nets,"$2,062,800",2010
4320,Anthony Johnson, PG,Orlando Magic,"$2,062,800",2010
4321,Brent Barry, SG,Houston Rockets,"$2,062,800",2010
4322,Terrence Williams, SG,New Jersey Nets,"$2,060,040",2010
4323,Josh Boone, C,New Jersey Nets,"$2,056,968",2010
4324,Jason Thompson, PF,Sacramento Kings,"$2,035,920",2010
4325,Kyle Lowry, PG,Houston Rockets,"$2,034,996",2010
4326,Julian Wright, SF,New Orleans Hornets,"$2,000,040",2010
4327,Jannero Pargo, PG,Chicago Bulls,"$1,990,000",2010
4328,Shannon Brown, PG,Los Angeles Lakers,"$1,990,000",2010
4329,Fabricio Oberto, C,Washington Wizards,"$1,990,000",2010
4330,Rasho Nesterovic, C,Toronto Raptors,"$1,990,000",2010
4331,Ronald Murray, SG,Charlotte Bobcats,"$1,990,000",2010
4332,Channing Frye, PF,Phoenix Suns,"$1,990,000",2010
4333,Gerald Henderson, SG,Charlotte Bobcats,"$1,957,080",2010
4334,Jordan Farmar, PG,Los Angeles Lakers,"$1,947,240",2010
4335,Brandon Rush, SG,Indiana Pacers,"$1,934,160",2010
4336,Al Thornton, SF,Washington Wizards,"$1,900,200",2010
4337,Mardy Collins, PG,LA Clippers,"$1,867,742",2010
4338,Tyler Hansbrough, PF,Indiana Pacers,"$1,859,160",2010
4339,Anthony Randolph, SF,Golden State Warriors,"$1,837,560",2010
4340,Goran Dragic, PG,Phoenix Suns,"$1,836,000",2010
4341,Rodney Stuckey, PG,Detroit Pistons,"$1,805,040",2010
4342,Antoine Wright, SF,Toronto Raptors,"$1,800,000",2010
4343,Earl Clark, SF,Phoenix Suns,"$1,766,280",2010
4344,Robin Lopez, C,Phoenix Suns,"$1,745,520",2010
4345,Nick Young, G,Washington Wizards,"$1,714,800",2010
4346,Francisco Elson, C,Philadelphia 76ers,"$1,700,000",2010
4347,Austin Daye, SF,Detroit Pistons,"$1,677,840",2010
4348,Marreese Speights, F,Philadelphia 76ers,"$1,658,280",2010
4349,J.J. Barea, PG,Dallas Mavericks,"$1,657,500",2010
4350,Sean Williams, PF,New Jersey Nets,"$1,629,120",2010
