,Name,Position,Team,Salary,Year
270,Dario Saric, PF,Philadelphia 76ers,"$2,526,840",2019
271,Taurean Prince, SF,Atlanta Hawks,"$2,526,840",2019
272,Justin Anderson, SG,Atlanta Hawks,"$2,516,048",2019
273,Manu Ginobili, G,San Antonio Spurs,"$2,500,000",2019
274,Reggie Bullock, SG,Los Angeles Lakers,"$2,500,000",2019
275,Bobby Portis, PF,Washington Wizards,"$2,494,346",2019
276,Dante Cunningham, SF,San Antonio Spurs,"$2,487,000",2019
277,Donte DiVincenzo, SG,Milwaukee Bucks,"$2,481,000",2019
278,Rondae Hollis-Jefferson, SF,Brooklyn Nets,"$2,470,357",2019
279,Emeka Okafor, C,Philadelphia 76ers,"$2,445,085",2019
280,Kendrick Perkins, C,Cleveland Cavaliers,"$2,445,085",2019
281,Tyus Jones, PG,Minnesota Timberwolves,"$2,444,053",2019
282,Jarell Martin, PF,Orlando Magic,"$2,416,222",2019
283,T.J. Leaf, PF,Indiana Pacers,"$2,407,560",2019
284,Wayne Ellington, SG,Miami Heat,"$2,383,076",2019
285,Lonnie Walker IV, SG,San Antonio Spurs,"$2,357,160",2019
286,John Collins, PF,Atlanta Hawks,"$2,299,080",2019
287,Denzel Valentine, SG,Chicago Bulls,"$2,280,600",2019
288,Larry Nance Jr., PF,Cleveland Cavaliers,"$2,272,391",2019
289,Kevin Huerter, SG,Atlanta Hawks,"$2,250,960",2019
290,Brandon Jennings, G,Milwaukee Bucks,"$2,222,803",2019
291,Harry Giles, PF,Sacramento Kings,"$2,207,040",2019
292,Darius Miller, SF,New Orleans Pelicans,"$2,205,000",2019
293,Juan Hernangomez, PF,Denver Nuggets,"$2,166,360",2019
294,Josh Okogie, SG,Minnesota Timberwolves,"$2,160,720",2019
295,Raul Neto, PG,Utah Jazz,"$2,150,000",2019
296,Terrance Ferguson, SG,Oklahoma City Thunder,"$2,118,840",2019
297,Grayson Allen, SG,Utah Jazz,"$2,074,320",2019
298,Sean Kilpatrick, G,Chicago Bulls,"$2,054,856",2019
299,OG Anunoby, SF,Toronto Raptors,"$2,034,120",2019
300,Jarrett Allen, C,Brooklyn Nets,"$2,034,120",2019
301,Torrey Craig, SF,Denver Nuggets,"$2,000,000",2019
302,Chandler Hutchison, SF,Chicago Bulls,"$1,990,520",2019
303,Ante Zizic, C,Cleveland Cavaliers,"$1,952,760",2019
304,Shabazz Napier, PG,Brooklyn Nets,"$1,942,422",2019
305,Tyler Zeller, C,Milwaukee Bucks,"$1,933,941",2019
306,Aaron Holiday, PG,Indiana Pacers,"$1,911,960",2019
307,Tyler Lydon, PF,Denver Nuggets,"$1,874,640",2019
308,Henry Ellenson, PF,New York Knicks,"$1,857,480",2019
309,DeAndre Liggins, G,Miami Heat,"$1,795,015",2019
310,Trey Burke, PG,New York Knicks,"$1,795,015",2019
311,Malik Beasley, SG,Denver Nuggets,"$1,773,840",2019
312,Moritz Wagner, C,Los Angeles Lakers,"$1,762,080",2019
313,Anfernee Simons, SG,Portland Trail Blazers,"$1,760,520",2019
314,Nerlens Noel, PF,Oklahoma City Thunder,"$1,757,429",2019
315,Caleb Swanigan, PF,Portland Trail Blazers,"$1,740,000",2019
316,Furkan Korkmaz, SG,Philadelphia 76ers,"$1,740,000",2019
317,Landry Shamet, PG,Philadelphia 76ers,"$1,703,649",2019
318,Caris LeVert, SG,Brooklyn Nets,"$1,702,800",2019
319,Jonah Bolden, PF,Philadelphia 76ers,"$1,690,000",2019
320,Kyle Kuzma, PF,Los Angeles Lakers,"$1,689,840",2019
321,Tony Bradley, C,Utah Jazz,"$1,679,520",2019
322,Derrick White, PG,San Antonio Spurs,"$1,667,160",2019
323,Spencer Dinwiddie, PG,Brooklyn Nets,"$1,656,092",2019
324,MarShon Brooks, G,Memphis Grizzlies,"$1,656,092",2019
325,Julyan Stone, G,Chicago Bulls,"$1,656,092",2019
326,Josh Hart, SG,Los Angeles Lakers,"$1,655,160",2019
327,Robert Williams, C,Boston Celtics,"$1,654,440",2019
328,Jacob Evans, SG,Golden State Warriors,"$1,644,240",2019
329,Pat Connaughton, SG,Milwaukee Bucks,"$1,641,000",2019
330,DeAndre' Bembry, SF,Atlanta Hawks,"$1,634,640",2019
331,Dzanan Musa, SG,Brooklyn Nets,"$1,632,240",2019
332,James Ennis III, SF,Philadelphia 76ers,"$1,621,415",2019
333,Omari Spellman, PF,Atlanta Hawks,"$1,620,480",2019
334,Luke Kornet, PF,New York Knicks,"$1,619,260",2019
335,Rodions Kurucs, SF,Brooklyn Nets,"$1,618,320",2019
336,T.J. McConnell, PG,Philadelphia 76ers,"$1,600,520",2019
337,Richaun Holmes, PF,Phoenix Suns,"$1,600,520",2019
338,Dwight Buycks, G,Detroit Pistons,"$1,600,520",2019
339,Malachi Richardson, G,Toronto Raptors,"$1,569,360",2019
340,Jahlil Okafor, C,New Orleans Pelicans,"$1,567,707",2019
341,Pascal Siakam, PF,Toronto Raptors,"$1,544,951",2019
342,Willy Hernangomez, C,Charlotte Hornets,"$1,544,951",2019
343,Georgios Papagiannis, C,Portland Trail Blazers,"$1,544,951",2019
344,Dejounte Murray, PG,San Antonio Spurs,"$1,544,951",2019
345,Skal Labissiere, PF,Sacramento Kings,"$1,544,951",2019
346,Jake Layman, SF,Portland Trail Blazers,"$1,544,951",2019
347,Alex Poythress, SF,Atlanta Hawks,"$1,544,951",2019
348,Amir Johnson, C,Philadelphia 76ers,"$1,512,601",2019
349,Greg Monroe, C,Toronto Raptors,"$1,512,601",2019
350,Shelvin Mack, PG,Charlotte Hornets,"$1,512,601",2019
351,Omri Casspi, F,Memphis Grizzlies,"$1,512,601",2019
352,Jeff Green, SF,Washington Wizards,"$1,512,601",2019
353,Luol Deng, SF,Minnesota Timberwolves,"$1,512,601",2019
